wind_normalized,solar,load,charged,discharged,inbattery,overhead,gas
91.3725,0.0,42.558,48.8145,0,48.8145,0,12.1005
88.6575,0.0,41.62,47.0375,0,95.852,0,12.067499999999999
85.57499999999999,0.0,40.611,44.96399999999999,0,140.816,0,12.085999999999999
83.91000000000001,0.0,38.809,45.10100000000001,0,185.917,0,10.838999999999995
80.4,0.0,38.411,41.989000000000004,0,227.906,0,11.611
77.33999999999999,0.0,37.426,39.91399999999999,0,267.82,0,11.646000000000004
77.13,0.0,36.115,41.01499999999999,0,308.835,0,10.405000000000001
75.3075,0.0,36.229,39.078500000000005,0,347.9135,0,11.1265
74.23499999999999,0.624,36.529,38.32999999999998,0,386.24350000000004,0,11.628000000000007
72.465,9.252,38.909,42.808,0,429.0515000000001,0,12.440999999999999
72.6225,25.380000000000003,41.173,56.829499999999996,0,485.8810000000001,0,10.6205
75.195,40.356,43.186,72.36499999999998,0,558.246,0,8.032000000000004
77.6925,50.352,45.225,82.8195,0,641.0654999999999,0,6.7395
78.42,41.988,44.375,76.033,0,717.0984999999998,0,7.7379999999999995
76.755,27.324,43.602,60.477,0,777.5754999999998,0,11.185999999999993
74.61749999999999,8.928,43.547,39.99849999999999,0,817.5739999999997,0,16.4425
75.645,0.5880000000000001,45.734,30.498999999999988,0,848.0729999999996,0,20.372000000000003
78.86250000000001,0.0,49.478,29.38450000000001,0,877.4574999999996,0,23.1905
80.3175,0.0,48.977,31.3405,0,908.7979999999997,0,22.204499999999996
81.225,0.0,48.013,33.211999999999996,0,942.0099999999996,0,20.938
84.54749999999999,0.0,46.133,38.41449999999998,0,980.4244999999996,0,17.950500000000005
88.245,0.0,44.47,43.775000000000006,0,1024.1994999999995,0,15.055
91.575,0.0,48.237,43.338,0,1067.5374999999995,0,17.712
90.84,0.0,46.446,44.394000000000005,0,1111.9314999999995,0,16.165999999999997
90.1275,0.0,44.427,45.7005,0,1157.6319999999996,0,14.384500000000003
91.41000000000001,0.0,43.542,47.86800000000001,0,1205.4999999999998,0,13.072
93.69000000000001,0.0,42.916,50.774000000000015,0,1256.274,0,11.685999999999993
96.8775,0.0,42.744,43.72600000000011,0,1300,10.407499999999885,10.451500000000003
102.1875,0.0,42.666,0,0,1300,59.5215,8.603499999999997
104.17500000000001,0.0,44.044,0,0,1300,60.131000000000014,9.318999999999996
102.11250000000001,0.0,45.986,0,0,1300,56.126500000000014,11.948499999999996
100.95750000000001,0.0,48.692,0,0,1300,52.26550000000001,15.039499999999997
102.885,0.43199999999999994,52.277,0,0,1300,51.040000000000006,17.874000000000002
103.48499999999999,3.024,54.975,0,0,1300,51.533999999999985,19.724000000000004
103.71750000000002,7.98,56.962,0,0,1300,54.735500000000016,20.3945
106.41749999999999,15.131999999999998,58.35,0,0,1300,63.19949999999999,19.094500000000004
107.52000000000001,20.700000000000003,58.446,0,0,1300,69.77400000000003,17.430999999999997
109.16250000000001,22.776,58.011,0,0,1300,73.92750000000001,15.929499999999997
109.79249999999999,16.200000000000003,57.017,0,0,1300,68.97549999999998,16.36950000000001
109.17,6.168,55.77,0,0,1300,59.568000000000005,17.838
106.0725,0.516,56.859,0,0,1300,49.72950000000001,21.372500000000002
107.60249999999999,0.0,59.224,0,0,1300,48.378499999999995,23.356499999999997
110.88,0.0,59.478,0,0,1300,51.401999999999994,22.518
110.72999999999999,0.0,57.265,0,0,1300,53.46499999999999,20.355000000000004
110.16,0.0,54.888,0,0,1300,55.272,18.168
109.48500000000001,0.0,53.277,0,0,1300,56.20800000000001,16.781999999999996
107.1075,0.0,52.592,0,0,1300,54.5155,16.889499999999998
106.20749999999998,0.0,47.936,0,0,1300,58.27149999999998,12.533500000000004
103.10999999999999,0.0,44.514,0,0,1300,58.59599999999998,10.144000000000005
102.58500000000001,0.0,42.804,0,0,1300,59.781000000000006,8.609000000000002
98.63999999999999,0.0,41.199,0,0,1300,57.44099999999999,8.319000000000003
98.5275,0.0,40.274,0,0,1300,58.2535,7.4315
98.76,0.0,39.691,0,0,1300,59.069,6.771000000000001
97.7175,0.0,39.866,0,0,1300,57.8515,7.293500000000002
93.0525,0.0,41.833,0,0,1300,51.2195,10.8155
92.22749999999999,0.0,43.941,0,0,1300,48.28649999999999,13.198500000000003
91.7325,0.8639999999999999,46.584,0,0,1300,46.0125,15.790500000000002
90.78750000000001,7.284,49.102,0,0,1300,48.96950000000002,17.018499999999996
88.50750000000001,15.312000000000001,50.842,0,0,1300,52.977500000000006,17.511499999999998
86.57249999999999,20.375999999999998,52.84,0,0,1300,54.10849999999999,18.888500000000008
85.845,19.392000000000003,53.722,0,0,1300,51.51499999999999,20.259
82.5975,13.836,53.654,0,0,1300,42.77949999999999,22.662500000000005
79.125,7.007999999999999,52.645,0,0,1300,33.48799999999999,24.518000000000004
80.00999999999999,2.316,52.415,0,0,1300,29.910999999999994,25.166
82.28999999999999,0.24,54.662,0,0,1300,27.867999999999988,27.172
84.26249999999999,0.0,57.756,0,0,1300,26.50649999999999,29.6685
83.1375,0.0,58.146,0,0,1300,24.991500000000002,30.4335
79.42500000000001,0.0,56.229,0,0,1300,23.196000000000012,29.753999999999998
80.22749999999999,0.0,52.532,0,0,1300,27.695499999999996,25.789499999999997
81.6975,0.0,51.354,0,0,1300,30.343500000000006,24.121499999999997
82.41,0.0,51.075,0,0,1300,31.334999999999994,23.605000000000004
82.53750000000001,0.0,49.192,0,0,1300,33.34550000000001,21.679499999999997
83.01750000000001,0.0,44.957,0,0,1300,38.06050000000001,17.284499999999998
