wind_normalized,solar,load,charged,discharged,inbattery,overhead,gas
30.4575,0.0,42.558,0,0,0,0,12.1005
29.5525,0.0,41.62,0,0,0,0,12.067499999999999
28.525,0.0,40.611,0,0,0,0,12.085999999999999
27.970000000000002,0.0,38.809,0,0,0,0,10.838999999999995
26.8,0.0,38.411,0,0,0,0,11.611
25.779999999999998,0.0,37.426,0,0,0,0,11.646000000000004
25.71,0.0,36.115,0,0,0,0,10.405000000000001
25.1025,0.0,36.229,0,0,0,0,11.1265
24.744999999999997,0.156,36.529,0,0,0,0,11.628000000000007
24.155,2.313,38.909,0,0,0,0,12.440999999999999
24.2075,6.345000000000001,41.173,0,0,0,0,10.6205
25.064999999999998,10.089,43.186,0,0,0,0,8.032000000000004
25.8975,12.588,45.225,0,0,0,0,6.7395
26.14,10.497,44.375,0,0,0,0,7.7379999999999995
25.585,6.831,43.602,0,0,0,0,11.185999999999993
24.8725,2.232,43.547,0,0,0,0,16.4425
25.215,0.14700000000000002,45.734,0,0,0,0,20.372000000000003
26.2875,0.0,49.478,0,0,0,0,23.1905
26.7725,0.0,48.977,0,0,0,0,22.204499999999996
27.075,0.0,48.013,0,0,0,0,20.938
28.182499999999997,0.0,46.133,0,0,0,0,17.950500000000005
29.415,0.0,44.47,0,0,0,0,15.055
30.525000000000002,0.0,48.237,0,0,0,0,17.712
30.28,0.0,46.446,0,0,0,0,16.165999999999997
30.042499999999997,0.0,44.427,0,0,0,0,14.384500000000003
30.470000000000002,0.0,43.542,0,0,0,0,13.072
31.230000000000004,0.0,42.916,0,0,0,0,11.685999999999993
32.2925,0.0,42.744,0,0,0,0,10.451500000000003
34.0625,0.0,42.666,0,0,0,0,8.603499999999997
34.725,0.0,44.044,0,0,0,0,9.318999999999996
34.0375,0.0,45.986,0,0,0,0,11.948499999999996
33.6525,0.0,48.692,0,0,0,0,15.039499999999997
34.295,0.10799999999999998,52.277,0,0,0,0,17.874000000000002
34.495,0.756,54.975,0,0,0,0,19.724000000000004
34.572500000000005,1.995,56.962,0,0,0,0,20.3945
35.4725,3.7829999999999995,58.35,0,0,0,0,19.094500000000004
35.84,5.175000000000001,58.446,0,0,0,0,17.430999999999997
36.3875,5.694,58.011,0,0,0,0,15.929499999999997
