344	66
351	66
344	66
346	64
344	63
350	62
360	61
363	60
357	60
347	61
350	62
369	64
359	68
359	71
380	74
390	80
402	83
426	86
426	90
429	91
429	91
429	91
415	91
383	93
313	100
266	108
217	116
172	125
159	131
164	138
187	142
208	152
229	153
243	154
276	153
305	155
331	156
353	153
374	155
406	156
428	158
460	156
487	153
521	152
541	148
566	145
581	141
603	141
625	142
682	143
695	144
733	147
764	151
793	157
807	160
856	164
888	169
901	174
909	179
915	181
920	184
930	188
964	192
982	195
1005	200
1017	203
1001	208
987	209
964	212
955	214
936	219
922	225
913	235
913	249
908	259
909	270
908	278
904	289
901	297
901	305
890	308
878	312
892	318
915	321
911	325
917	331
951	336
977	340
985	345
985	348
996	353
1001	360
1010	364
1018	368
1018	375
980	389
868	406
690	431
564	460
486	497
433	530
419	562
420	589
432	602
418	612
387	612
372	619
354	623
318	644
268	680
231	693
208	707
193	711
202	724
225	716
255	727
267	738
272	746
296	753
314	753
332	767
