wind_normalized,solar_germany,load_germany,charged,discharged,inbattery,overhead,gas
47.5137,0.0,42.558,4.9557,0,4.9557,0,0
46.1019,0.0,41.62,4.481900000000003,0,9.437600000000003,0,0
44.499,0.0,40.611,3.8880000000000052,0,13.325600000000009,0,0
43.6332,0.0,38.809,4.824200000000005,0,18.149800000000013,0,0
41.808,0.0,38.411,3.3969999999999985,0,21.54680000000001,0,0
40.2168,0.0,37.426,2.7907999999999973,0,24.33760000000001,0,0
40.107600000000005,0.0,36.115,3.992600000000003,0,28.330200000000012,0,0
39.1599,0.0,36.229,2.930900000000001,0,31.261100000000013,0,0
38.602199999999996,0.104,36.529,2.177199999999992,0,33.438300000000005,0,0
37.6818,1.542,38.909,0.3148000000000053,0,33.75310000000001,0,0
37.7637,4.23,41.173,0.8207000000000022,0,34.57380000000002,0,0
39.1014,6.726,43.186,2.6413999999999973,0,37.21520000000002,0,0
40.4001,8.392,45.225,3.5671000000000035,0,40.78230000000001,0,0
40.7784,6.998,44.375,3.4013999999999953,0,44.183700000000016,0,0
39.9126,4.554,43.602,0.8646000000000029,0,45.04830000000002,0,0
38.8011,1.488,43.547,0,3.2578999999999994,41.79040000000002,0,0
39.3354,0.098,45.734,0,6.300600000000003,35.48980000000002,0,0
41.0085,0.0,49.478,0,8.469500000000004,27.020300000000013,0,0
41.7651,0.0,48.977,0,7.2119,19.808400000000013,0,0
42.237,0.0,48.013,0,5.775999999999996,14.032400000000017,0,0
43.9647,0.0,46.133,0,2.168300000000002,11.864100000000015,0,0
45.8874,0.0,44.47,1.4174000000000007,0,13.281500000000015,0,0
47.619,0.0,48.237,0,0.6180000000000021,12.663500000000013,0,0
47.2368,0.0,46.446,0.7908000000000044,0,13.454300000000018,0,0
46.866299999999995,0.0,44.427,2.439299999999996,0,15.893600000000013,0,0
47.5332,0.0,43.542,3.991199999999999,0,19.884800000000013,0,0
48.7188,0.0,42.916,5.802800000000005,0,25.687600000000018,0,0
50.3763,0.0,42.744,7.632300000000001,0,33.31990000000002,0,0
53.137499999999996,0.0,42.666,10.471499999999999,0,43.79140000000001,0,0
54.171,0.0,44.044,10.127000000000002,0,53.918400000000005,0,0
53.0985,0.0,45.986,7.112500000000004,0,61.03090000000001,0,0
52.4979,0.0,48.692,3.805900000000001,0,64.83680000000001,0,0
53.5002,0.072,52.277,1.2952000000000012,0,66.13200000000002,0,0
53.8122,0.504,54.975,0,0.6588000000000065,65.47320000000002,0,0
53.9331,1.33,56.962,0,1.6989000000000019,63.77430000000002,0,0
55.3371,2.522,58.35,0,0.49090000000000344,63.283400000000015,0,0
55.9104,3.45,58.446,0.9144000000000077,0,64.19780000000002,0,0
56.7645,3.796,58.011,2.5494999999999948,0,66.74730000000002,0,0
57.092099999999995,2.7,57.017,2.775099999999995,0,69.5224,0,0
56.76839999999999,1.028,55.77,2.026399999999988,0,71.5488,0,0
55.1577,0.086,56.859,0,1.6153000000000048,69.9335,0,0
55.9533,0.0,59.224,0,3.270699999999998,66.6628,0,0
57.6576,0.0,59.478,0,1.8203999999999994,64.8424,0,0
57.5796,0.0,57.265,0.31459999999999866,0,65.157,0,0
57.2832,0.0,54.888,2.3952000000000027,0,67.5522,0,0
56.9322,0.0,53.277,3.6552000000000007,0,71.20739999999999,0,0
55.6959,0.0,52.592,3.103900000000003,0,74.3113,0,0
55.2279,0.0,47.936,7.291899999999998,0,81.60319999999999,0,0
53.6172,0.0,44.514,9.103199999999994,0,90.70639999999997,0,0
53.3442,0.0,42.804,10.540199999999999,0,101.24659999999997,0,0
51.29279999999999,0.0,41.199,10.093799999999995,0,111.34039999999997,0,0
51.2343,0.0,40.274,10.960299999999997,0,122.30069999999998,0,0
51.355199999999996,0.0,39.691,11.664199999999994,0,133.96489999999997,0,0
50.8131,0.0,39.866,10.947099999999999,0,144.91199999999998,0,0
48.387299999999996,0.0,41.833,6.554299999999998,0,151.46629999999996,0,0
47.9583,0.0,43.941,4.017299999999999,0,155.48359999999997,0,0
47.7009,0.144,46.584,1.2608999999999924,0,156.74449999999996,0,0
47.2095,1.214,49.102,0,0.6784999999999997,156.06599999999997,0,0
46.0239,2.552,50.842,0,2.2661000000000016,153.79989999999998,0,0
45.0177,3.396,52.84,0,4.426300000000005,149.37359999999998,0,0
44.639399999999995,3.232,53.722,0,5.850600000000007,143.52299999999997,0,0
42.9507,2.306,53.654,0,8.397300000000008,135.12569999999997,0,0
41.145,1.168,52.645,0,10.332,124.79369999999997,0,0
41.605199999999996,0.386,52.415,0,10.4238,114.36989999999997,0,0
42.7908,0.04,54.662,0,11.831200000000003,102.53869999999998,0,0
43.8165,0.0,57.756,0,13.939500000000002,88.59919999999997,0,0
43.231500000000004,0.0,58.146,0,14.914499999999997,73.68469999999996,0,0
41.301,0.0,56.229,0,14.927999999999997,58.75669999999997,0,0
41.7183,0.0,52.532,0,10.813699999999997,47.94299999999997,0,0
42.4827,0.0,51.354,0,8.871299999999998,39.07169999999997,0,0
42.853199999999994,0.0,51.075,0,8.221800000000009,30.849899999999963,0,0
42.9195,0.0,49.192,0,6.272500000000001,24.57739999999996,0,0
43.1691,0.0,44.957,0,1.7879000000000005,22.78949999999996,0,0
44.0193,0.0,41.795,2.2242999999999995,0,25.01379999999996,0,0
43.6761,0.0,40.282,3.3941000000000017,0,28.40789999999997,0,0
43.7112,0.0,39.447,4.264199999999995,0,32.67209999999997,0,0
44.0739,0.0,39.643,4.430900000000001,0,37.10299999999998,0,0
44.1714,0.0,39.222,4.949399999999997,0,42.052399999999984,0,0
