8.657	12.183	42.558
8.827	11.821	41.620
9.081	11.410	40.611
9.091	11.188	38.809
9.167	10.720	38.411
9.238	10.312	37.426
9.698	10.284	36.115
10.331	10.041	36.229
10.211	9.898	36.529
10.033	9.662	38.909
10.551	9.683	41.173
11.394	10.026	43.186
12.107	10.359	45.225
12.509	10.456	44.375
11.924	10.234	43.602
11.860	9.949	43.547
13.593	10.086	45.734
15.445	10.515	49.478
16.872	10.709	48.977
18.025	10.830	48.013
19.208	11.273	46.133
20.384	11.766	44.470
21.266	12.210	48.237
22.104	12.112	46.446
22.512	12.017	44.427
23.489	12.188	43.542
24.319	12.492	42.916
25.143	12.917	42.744
25.808	13.625	42.666
26.232	13.890	44.044
26.418	13.615	45.986
26.278	13.461	48.692
26.742	13.718	52.277
26.067	13.798	54.975
25.723	13.829	56.962
25.859	14.189	58.350
25.762	14.336	58.446
25.877	14.555	58.011
25.424	14.639	57.017
25.114	14.556	55.770
24.810	14.143	56.859
24.388	14.347	59.224
25.101	14.784	59.478
24.831	14.764	57.265
24.295	14.688	54.888
24.375	14.598	53.277
24.559	14.281	52.592
24.615	14.161	47.936
24.086	13.748	44.514
23.302	13.678	42.804
22.135	13.152	41.199
20.919	13.137	40.274
20.300	13.168	39.691
20.537	13.029	39.866
21.377	12.407	41.833
22.018	12.297	43.941
23.040	12.231	46.584
23.479	12.105	49.102
23.146	11.801	50.842
23.291	11.543	52.840
22.926	11.446	53.722
21.270	11.013	53.654
19.496	10.550	52.645
17.532	10.668	52.415
16.097	10.972	54.662
15.358	11.235	57.756
14.381	11.085	58.146
12.929	10.590	56.229
13.784	10.697	52.532
15.237	10.893	51.354
15.896	10.988	51.075
17.365	11.005	49.192
17.873	11.069	44.957
18.728	11.287	41.795
18.898	11.199	40.282
19.052	11.208	39.447
19.180	11.301	39.643
18.769	11.326	39.222
18.674	11.247	39.016
18.039	11.201	39.937
18.043	11.113	41.363
17.287	11.007	43.653
16.828	10.839	46.024
16.910	10.717	48.667
16.863	10.867	48.895
16.685	10.672	47.961
16.155	10.276	46.474
15.109	9.578	46.383
14.191	9.407	48.527
13.724	9.326	52.744
13.743	9.254	53.714
14.211	9.270	52.765
14.082	9.075	50.521
13.036	8.309	49.410
12.419	7.646	49.255
12.392	7.066	47.055
12.311	6.726	44.849
12.254	6.584	42.904
12.665	6.675	42.139
12.725	6.568	41.710
13.545	6.746	43.188
14.867	6.935	46.524
15.428	7.212	51.016
15.355	7.340	55.776
15.266	7.749	59.321
14.714	7.744	60.004
13.709	7.528	60.799
12.351	7.401	60.862
11.156	6.915	60.838
9.825	6.564	59.853
7.917	5.965	58.912
6.249	5.463	57.927
5.134	5.226	59.251
4.568	5.291	62.605
4.271	5.426	62.763
3.955	5.323	61.215
3.212	5.076	57.003
2.652	4.879	55.057
2.122	4.695	54.043
1.810	4.832	49.870
1.491	4.966	47.115
1.167	5.294	46.075
0.899	5.547	45.184
0.827	5.930	45.096
