wind_normalized,load_germany,charged,discharged,inbattery,overhead,gas
67.0065,42.558,24.448500000000003,0,24.448500000000003,0,0
65.0155,41.62,23.395500000000006,0,47.844,0,0
62.755,40.611,22.144000000000005,0,69.988,0,0
61.534000000000006,38.809,22.72500000000001,0,92.713,0,0
58.96,38.411,20.549,0,113.262,0,0
56.715999999999994,37.426,19.289999999999992,0,132.55200000000002,0,0
56.562000000000005,36.115,20.447000000000003,0,152.99900000000002,0,0
55.225500000000004,36.229,18.996500000000005,0,171.99550000000005,0,0
54.439,36.529,17.909999999999997,0,189.90550000000005,0,0
53.141000000000005,38.909,14.232000000000006,0,204.13750000000005,0,0
53.2565,41.173,12.0835,0,216.22100000000006,0,0
55.143,43.186,11.957,0,228.17800000000003,0,0
56.9745,45.225,11.749499999999998,0,239.92750000000004,0,0
57.507999999999996,44.375,13.132999999999996,0,253.06050000000005,0,0
56.287,43.602,12.685000000000002,0,265.74550000000005,0,0
54.7195,43.547,11.1725,0,276.918,0,0
55.473,45.734,9.738999999999997,0,286.65700000000004,0,0
57.8325,49.478,8.354500000000002,0,295.0115,0,0
58.899499999999996,48.977,9.9225,0,304.934,0,0
59.565,48.013,11.552,0,316.48600000000005,0,0
62.0015,46.133,15.868499999999997,0,332.3545000000001,0,0
64.713,44.47,20.242999999999995,0,352.5975000000001,0,0
67.155,48.237,18.918,0,371.51550000000003,0,0
66.616,46.446,20.17,0,391.68550000000005,0,0
66.09349999999999,44.427,21.666499999999992,0,413.35200000000003,0,0
67.034,43.542,23.492000000000004,0,436.84400000000005,0,0
68.706,42.916,25.790000000000006,0,462.63400000000007,0,0
71.0435,42.744,28.299499999999995,0,490.9335,0,0
74.9375,42.666,32.2715,0,523.2049999999999,0,0
76.39500000000001,44.044,32.35100000000001,0,555.5559999999999,0,0
74.88250000000001,45.986,28.89650000000001,0,584.4525,0,0
74.0355,48.692,25.3435,0,609.7959999999999,0,0
75.449,52.277,23.171999999999997,0,632.9679999999998,0,0
75.889,54.975,20.913999999999994,0,653.8819999999998,0,0
76.0595,56.962,19.097499999999997,0,672.9794999999998,0,0
78.0395,58.35,19.689500000000002,0,692.6689999999998,0,0
78.848,58.446,20.402,0,713.0709999999997,0,0
80.0525,58.011,22.041499999999992,0,735.1124999999997,0,0
80.5145,57.017,23.497499999999995,0,758.6099999999997,0,0
80.05799999999999,55.77,24.28799999999999,0,782.8979999999997,0,0
77.7865,56.859,20.927500000000002,0,803.8254999999997,0,0
78.9085,59.224,19.684500000000007,0,823.5099999999996,0,0
81.312,59.478,21.833999999999996,0,845.3439999999997,0,0
81.202,57.265,23.936999999999998,0,869.2809999999997,0,0
80.784,54.888,25.896000000000008,0,895.1769999999997,0,0
80.289,53.277,27.012,0,922.1889999999996,0,0
78.5455,52.592,25.953500000000005,0,948.1424999999996,0,0
77.8855,47.936,29.949499999999993,0,978.0919999999995,0,0
75.61399999999999,44.514,31.099999999999987,0,1009.1919999999994,0,0
75.229,42.804,32.425,0,1041.6169999999993,0,0
72.336,41.199,31.137,0,1072.7539999999992,0,0
72.2535,40.274,31.9795,0,1104.7334999999994,0,0
72.42399999999999,39.691,32.73299999999999,0,1137.4664999999993,0,0
71.6595,39.866,31.793499999999995,0,1169.2599999999993,0,0
68.2385,41.833,26.405500000000004,0,1195.6654999999992,0,0
67.6335,43.941,23.692499999999995,0,1219.357999999999,0,0
67.2705,46.584,20.686499999999995,0,1240.044499999999,0,0
66.5775,49.102,17.475500000000004,0,1257.519999999999,0,0
64.9055,50.842,14.063500000000005,0,1271.583499999999,0,0
63.48649999999999,52.84,10.646499999999989,0,1282.229999999999,0,0
62.952999999999996,53.722,9.230999999999995,0,1291.460999999999,0,0
60.5715,53.654,6.917499999999997,0,1298.3784999999991,0,0
58.025000000000006,52.645,5.380000000000003,0,1303.7584999999992,0,0
58.67399999999999,52.415,6.258999999999993,0,1310.0174999999992,0,0
60.346,54.662,5.6839999999999975,0,1315.7014999999992,0,0
61.7925,57.756,4.036499999999997,0,1319.7379999999991,0,0
60.9675,58.146,2.8215000000000003,0,1322.5594999999992,0,0
58.245,56.229,2.0159999999999982,0,1324.575499999999,0,0
58.833499999999994,52.532,6.301499999999997,0,1330.876999999999,0,0
59.911500000000004,51.354,8.557500000000005,0,1339.434499999999,0,0
60.434,51.075,9.358999999999995,0,1348.7934999999989,0,0
60.5275,49.192,11.335500000000003,0,1360.1289999999988,0,0
60.87950000000001,44.957,15.922500000000007,0,1376.0514999999987,0,0
62.078500000000005,41.795,20.283500000000004,0,1396.3349999999987,0,0
61.5945,40.282,21.3125,0,1417.6474999999987,0,0
61.644,39.447,22.196999999999996,0,1439.8444999999988,0,0
62.1555,39.643,22.512500000000003,0,1462.3569999999988,0,0
62.293000000000006,39.222,23.071000000000005,0,1485.4279999999987,0,0
61.8585,39.016,22.8425,0,1508.2704999999987,0,0
61.605500000000006,39.937,21.66850000000001,0,1529.938999999999,0,0
61.1215,41.363,19.758499999999998,0,1549.6974999999989,0,0
60.5385,43.653,16.8855,0,1566.582999999999,0,0
59.6145,46.024,13.590499999999999,0,1580.173499999999,0,0
58.9435,48.667,10.276499999999999,0,1590.4499999999991,0,0
59.7685,48.895,10.8735,0,1601.323499999999,0,0
58.696000000000005,47.961,10.735000000000007,0,1612.058499999999,0,0
56.518,46.474,10.044000000000004,0,1622.102499999999,0,0
52.678999999999995,46.383,6.295999999999992,0,1628.398499999999,0,0
51.7385,48.527,3.211500000000001,0,1631.609999999999,0,0
